Date_Key,PM25,Temp,Label
2013년09월_1일,13.1,28.2,0
2013년09월_2일,11.8,26.9,0
2013년09월_3일,9.7,26.8,0
2013년09월_4일,9.6,27.5,0
2013년09월_5일,11.1,24.1,0
2013년09월_6일,13.2,23.1,0
2013년09월_7일,15.0,26.9,0
2013년09월_8일,16.9,27.9,0
2013년09월_9일,19.9,26.5,0
2013년09월_10일,16.8,25.2,0
2013년09월_11일,16.0,20.9,1
2013년09월_12일,11.2,26.3,0
2013년09월_13일,9.2,25.2,0
2013년09월_14일,10.4,25.3,0
2013년09월_15일,12.1,28.2,0
2013년09월_16일,12.0,27.0,0
2013년09월_17일,10.1,29.3,0
2013년09월_18일,10.2,31.1,0
2013년09월_19일,13.2,30.2,0
2013년09월_20일,11.0,28.0,0
2013년09월_21일,11.2,27.8,0
2013년09월_22일,11.5,27.2,0
2013년09월_23일,12.6,29.0,0
2013년09월_24일,13.4,23.9,0
2013년09월_25일,13.2,24.2,0
2013년09월_26일,14.0,22.5,0
2013년09월_27일,12.2,24.0,0
2013년09월_28일,14.2,19.9,1
2013년09월_29일,15.8,19.7,1
2013년09월_30일,16.3,25.5,0
2013년10월_1일,13.0,27.2,0
2013년10월_2일,16.0,22.8,0
2013년10월_3일,10.0,21.3,1
2013년10월_4일,17.0,25.1,0
2013년10월_5일,13.0,28.1,0
2013년10월_6일,7.0,25.7,0
2013년10월_7일,8.0,26.9,0
2013년10월_8일,9.0,21.8,1
2013년10월_9일,10.0,26.4,0
2013년10월_10일,17.0,26.4,0
2013년10월_11일,15.0,20.7,1
2013년10월_12일,11.0,21.5,1
2013년10월_13일,19.0,23.4,0
2013년10월_14일,20.0,24.4,0
2013년10월_15일,13.0,17.4,1
2013년10월_16일,9.0,16.8,1
2013년10월_17일,15.0,18.9,1
2013년10월_18일,16.0,20.2,1
2013년10월_19일,13.0,19.5,1
2013년10월_20일,11.0,22.9,0
2013년10월_21일,8.0,22.2,0
2013년10월_22일,8.0,21.7,1
2013년10월_23일,12.0,22.1,0
2013년10월_24일,17.0,18.5,1
2013년10월_25일,17.0,14.5,1
2013년10월_26일,22.0,15.7,1
2013년10월_27일,27.0,18.0,1
2013년10월_28일,32.0,16.7,1
2013년10월_29일,37.0,16.5,0
2013년10월_30일,16.0,16.2,1
2013년10월_31일,22.0,18.8,1
2013년11월_1일,32.0,20.7,1
2013년11월_2일,30.0,14.9,1
2013년11월_3일,33.0,16.7,1
2013년11월_4일,30.0,17.6,1
2013년11월_5일,33.0,18.5,1
2013년11월_6일,36.0,15.9,0
2013년11월_7일,18.0,15.8,1
2013년11월_8일,12.0,14.5,1
2013년11월_9일,16.0,15.5,1
2013년11월_10일,8.0,10.4,0
2013년11월_11일,11.0,7.5,0
2013년11월_12일,11.0,8.5,0
2013년11월_13일,20.0,11.4,0
2013년11월_14일,27.0,9.9,0
2013년11월_15일,39.0,12.4,0
2013년11월_16일,41.0,12.0,0
2013년11월_17일,11.0,7.6,0
2013년11월_18일,8.0,4.2,0
2013년11월_19일,12.0,3.8,0
2013년11월_20일,11.0,5.9,0
2013년11월_21일,14.0,7.3,0
2013년11월_22일,34.0,10.5,0
2013년11월_23일,57.0,12.5,0
2013년11월_24일,53.0,10.6,0
2013년11월_25일,9.0,10.2,0
2013년11월_26일,12.0,5.8,0
2013년11월_27일,12.0,4.7,0
2013년11월_28일,11.0,-0.9,0
2013년11월_29일,14.0,4.8,0
2013년11월_30일,23.0,10.6,0
2014년09월_1일,18.0,29.7,0
2014년09월_2일,11.0,27.7,0
2014년09월_3일,4.0,20.6,1
2014년09월_4일,9.0,27.6,0
2014년09월_5일,15.0,29.0,0
2014년09월_6일,20.0,30.8,0
2014년09월_7일,27.0,31.3,0
2014년09월_8일,31.0,30.2,0
2014년09월_9일,34.0,28.2,0
2014년09월_10일,14.0,28.9,0
2014년09월_11일,20.0,29.2,0
2014년09월_12일,21.0,26.6,0
2014년09월_13일,12.0,28.3,0
2014년09월_14일,8.0,28.4,0
2014년09월_15일,20.0,27.5,0
2014년09월_16일,13.0,27.0,0
2014년09월_17일,18.0,22.6,0
2014년09월_18일,10.0,27.0,0
2014년09월_19일,13.0,28.4,0
2014년09월_20일,17.0,28.1,0
2014년09월_21일,17.0,25.6,0
2014년09월_22일,16.0,27.9,0
2014년09월_23일,13.0,29.0,0
2014년09월_24일,10.0,23.8,0
2014년09월_25일,12.0,27.7,0
2014년09월_26일,14.0,24.2,0
2014년09월_27일,16.0,25.1,0
2014년09월_28일,24.0,24.7,0
2014년09월_29일,25.0,20.7,1
2014년09월_30일,10.0,23.7,0
2014년10월_1일,13.0,24.4,0
2014년10월_2일,18.0,20.1,1
2014년10월_3일,14.0,20.8,1
2014년10월_4일,10.0,23.0,0
2014년10월_5일,9.0,23.2,0
2014년10월_6일,10.0,22.6,0
2014년10월_7일,16.0,22.5,0
2014년10월_8일,19.0,23.6,0
2014년10월_9일,24.0,25.4,0
2014년10월_10일,21.0,26.3,0
2014년10월_11일,16.0,25.6,0
2014년10월_12일,16.0,29.0,0
2014년10월_13일,9.0,21.7,1
2014년10월_14일,10.0,20.0,1
2014년10월_15일,17.0,20.0,1
2014년10월_16일,15.0,18.0,1
2014년10월_17일,14.0,21.2,1
2014년10월_18일,18.0,22.5,0
2014년10월_19일,30.0,22.7,0
2014년10월_20일,20.0,17.1,1
2014년10월_21일,8.0,15.7,1
2014년10월_22일,10.0,18.7,1
2014년10월_23일,16.0,20.6,1
2014년10월_24일,23.0,21.0,1
2014년10월_25일,25.0,22.2,0
2014년10월_26일,20.0,19.9,1
2014년10월_27일,14.0,16.9,1
2014년10월_28일,24.0,19.4,1
2014년10월_29일,30.0,20.8,1
2014년10월_30일,34.0,20.8,1
2014년10월_31일,24.0,18.2,1
2014년11월_1일,21.0,22.9,0
2014년11월_2일,29.0,15.4,1
2014년11월_3일,12.0,14.8,1
2014년11월_4일,13.0,18.5,1
2014년11월_5일,17.0,18.4,1
2014년11월_6일,27.0,17.7,1
2014년11월_7일,19.0,16.5,1
2014년11월_8일,29.0,15.1,1
2014년11월_9일,26.0,15.5,1
2014년11월_10일,27.0,16.5,1
2014년11월_11일,37.0,14.5,0
2014년11월_12일,15.0,10.0,0
2014년11월_13일,9.0,4.3,0
2014년11월_14일,14.0,10.0,0
2014년11월_15일,16.0,9.5,0
2014년11월_16일,23.0,12.4,0
2014년11월_17일,20.0,9.0,0
2014년11월_18일,21.0,10.4,0
2014년11월_19일,30.0,12.6,0
2014년11월_20일,34.0,14.6,1
2014년11월_21일,32.0,16.5,1
2014년11월_22일,25.0,12.7,0
2014년11월_23일,34.0,12.3,0
2014년11월_24일,35.0,13.2,0
2014년11월_25일,17.0,15.1,1
2014년11월_26일,16.0,16.3,1
2014년11월_27일,25.0,14.9,1
2014년11월_28일,16.0,10.1,0
2014년11월_29일,11.0,12.8,0
2014년11월_30일,9.0,11.1,0
2015년09월_1일,16.0,30.7,0
2015년09월_2일,16.0,27.7,0
2015년09월_3일,15.0,28.2,0
2015년09월_4일,20.0,30.7,0
2015년09월_5일,19.0,23.6,0
2015년09월_6일,7.0,26.2,0
2015년09월_7일,7.0,28.7,0
2015년09월_8일,7.0,28.9,0
2015년09월_9일,8.0,30.1,0
2015년09월_10일,13.0,28.4,0
2015년09월_11일,21.0,24.4,0
2015년09월_12일,11.0,24.0,0
2015년09월_13일,10.0,26.0,0
2015년09월_14일,17.0,27.8,0
2015년09월_15일,14.0,28.7,0
2015년09월_16일,8.0,26.7,0
2015년09월_17일,6.0,27.6,0
2015년09월_18일,11.0,29.2,0
2015년09월_19일,16.0,29.0,0
2015년09월_20일,30.0,28.3,0
2015년09월_21일,30.0,29.4,0
2015년09월_22일,25.0,31.0,0
2015년09월_23일,25.0,26.1,0
2015년09월_24일,22.0,30.6,0
2015년09월_25일,22.0,29.8,0
2015년09월_26일,28.0,28.0,0
2015년09월_27일,15.0,29.8,0
2015년09월_28일,14.0,28.3,0
2015년09월_29일,10.0,28.2,0
2015년09월_30일,8.0,26.2,0
2015년10월_1일,8.0,19.7,1
2015년10월_2일,10.0,21.5,1
2015년10월_3일,17.0,24.5,0
2015년10월_4일,12.0,22.4,0
2015년10월_5일,14.0,25.6,0
2015년10월_6일,16.0,26.3,0
2015년10월_7일,23.0,25.7,0
2015년10월_8일,27.0,26.4,0
2015년10월_9일,11.0,20.5,1
2015년10월_10일,11.0,17.2,1
2015년10월_11일,9.0,14.4,1
2015년10월_12일,10.0,17.9,1
2015년10월_13일,16.0,21.3,1
2015년10월_14일,26.0,24.5,0
2015년10월_15일,36.0,26.1,0
2015년10월_16일,43.0,24.2,0
2015년10월_17일,34.0,26.6,0
2015년10월_18일,48.0,24.2,0
2015년10월_19일,62.0,23.9,0
2015년10월_20일,57.0,25.1,0
2015년10월_21일,70.0,22.7,0
2015년10월_22일,48.0,23.1,0
2015년10월_23일,29.0,21.4,1
2015년10월_24일,21.0,22.0,1
2015년10월_25일,16.0,22.8,0
2015년10월_26일,16.0,18.7,1
2015년10월_27일,13.0,15.9,1
2015년10월_28일,13.0,15.8,1
2015년10월_29일,12.0,14.7,1
2015년10월_30일,10.0,10.4,0
2015년10월_31일,16.0,12.3,0
2015년11월_1일,24.0,12.6,0
2015년11월_2일,29.0,15.2,1
2015년11월_3일,42.0,18.7,0
2015년11월_4일,55.0,19.8,0
2015년11월_5일,52.0,19.2,0
2015년11월_6일,32.0,19.2,1
2015년11월_7일,8.0,11.7,0
2015년11월_8일,3.0,11.8,0
2015년11월_9일,8.0,12.1,0
2015년11월_10일,31.0,13.5,0
2015년11월_11일,26.0,17.7,1
2015년11월_12일,10.0,21.0,1
2015년11월_13일,8.0,13.1,0
2015년11월_14일,8.0,14.2,1
2015년11월_15일,12.0,17.2,1
2015년11월_16일,17.0,14.0,1
2015년11월_17일,12.0,19.3,1
2015년11월_18일,6.0,12.6,0
2015년11월_19일,8.0,10.8,0
2015년11월_20일,22.0,14.4,1
2015년11월_21일,33.0,15.4,1
2015년11월_22일,20.0,15.7,1
2015년11월_23일,5.0,11.0,0
2015년11월_24일,15.0,8.8,0
2015년11월_25일,9.0,5.3,0
2015년11월_26일,24.0,0.9,0
2015년11월_27일,26.0,2.0,0
2015년11월_28일,28.0,2.6,0
2015년11월_29일,29.0,3.9,0
2015년11월_30일,29.0,8.5,0
2016년09월_1일,33.0,28.6,0
2016년09월_2일,23.0,29.0,0
2016년09월_3일,13.0,28.6,0
2016년09월_4일,13.0,29.6,0
2016년09월_5일,17.0,31.1,0
2016년09월_6일,35.0,29.0,0
2016년09월_7일,51.0,28.6,0
2016년09월_8일,30.0,26.5,0
2016년09월_9일,27.0,29.3,0
2016년09월_10일,27.0,29.1,0
2016년09월_11일,27.0,28.2,0
2016년09월_12일,18.0,27.5,0
2016년09월_13일,10.0,30.8,0
2016년09월_14일,21.0,28.9,0
2016년09월_15일,27.0,29.5,0
2016년09월_16일,35.0,29.5,0
2016년09월_17일,20.0,28.2,0
2016년09월_18일,13.0,28.3,0
2016년09월_19일,5.0,27.8,0
2016년09월_20일,10.0,26.8,0
2016년09월_21일,22.0,25.3,0
2016년09월_22일,26.0,27.2,0
2016년09월_23일,33.0,27.9,0
2016년09월_24일,41.0,28.9,0
2016년09월_25일,36.0,29.7,0
2016년09월_26일,29.0,28.9,0
2016년09월_27일,23.0,23.8,0
2016년09월_28일,21.0,21.8,1
2016년09월_29일,6.0,24.8,0
2016년09월_30일,14.0,23.5,0
2016년10월_1일,26.0,25.6,0
2016년10월_2일,17.0,22.4,0
2016년10월_3일,9.0,27.9,0
2016년10월_4일,15.0,29.0,0
2016년10월_5일,13.0,27.2,0
2016년10월_6일,18.0,23.5,0
2016년10월_7일,12.0,24.8,0
2016년10월_8일,10.0,21.8,1
2016년10월_9일,9.0,16.6,1
2016년10월_10일,11.0,21.4,1
2016년10월_11일,22.0,21.1,1
2016년10월_12일,29.0,20.7,1
2016년10월_13일,20.0,21.9,1
2016년10월_14일,41.0,23.5,0
2016년10월_15일,49.0,27.1,0
2016년10월_16일,36.0,19.5,0
2016년10월_17일,32.0,21.7,1
2016년10월_18일,29.0,24.0,0
2016년10월_19일,36.0,24.3,0
2016년10월_20일,37.0,25.8,0
2016년10월_21일,12.0,22.0,1
2016년10월_22일,15.0,22.8,0
2016년10월_23일,6.0,17.8,1
2016년10월_24일,7.0,20.6,1
2016년10월_25일,9.0,17.5,1
2016년10월_26일,21.0,16.3,1
2016년10월_27일,22.0,20.9,1
2016년10월_28일,17.0,18.4,1
2016년10월_29일,16.0,11.2,0
2016년10월_30일,12.0,15.1,1
2016년10월_31일,15.0,8.2,0
2016년11월_1일,10.0,6.6,0
2016년11월_2일,16.0,10.5,0
2016년11월_3일,23.0,14.1,1
2016년11월_4일,33.0,15.7,1
2016년11월_5일,44.0,18.1,0
2016년11월_6일,19.0,18.3,1
2016년11월_7일,23.0,17.8,1
2016년11월_8일,49.0,8.4,0
2016년11월_9일,27.0,8.6,0
2016년11월_10일,26.0,9.8,0
2016년11월_11일,22.0,14.2,1
2016년11월_12일,31.0,16.7,1
2016년11월_13일,30.0,18.1,1
2016년11월_14일,29.0,15.8,1
2016년11월_15일,20.0,10.2,0
2016년11월_16일,27.0,12.0,0
2016년11월_17일,39.0,16.5,0
2016년11월_18일,54.0,14.6,0
2016년11월_19일,34.0,18.6,1
2016년11월_20일,24.0,15.3,1
2016년11월_21일,29.0,14.6,1
2016년11월_22일,18.0,8.4,0
2016년11월_23일,15.0,3.6,0
2016년11월_24일,13.0,2.4,0
2016년11월_25일,21.0,6.0,0
2016년11월_26일,36.0,2.7,0
2016년11월_27일,48.0,6.6,0
2016년11월_28일,39.0,5.6,0
2016년11월_29일,23.0,8.6,0
2016년11월_30일,27.0,9.8,0
2017년09월_1일,12.0,29.7,0
2017년09월_2일,15.0,29.6,0
2017년09월_3일,20.0,29.2,0
2017년09월_4일,18.0,30.1,0
2017년09월_5일,13.0,23.7,0
2017년09월_6일,17.0,24.0,0
2017년09월_7일,25.0,27.5,0
2017년09월_8일,33.0,29.9,0
2017년09월_9일,40.0,28.2,0
2017년09월_10일,36.0,26.1,0
2017년09월_11일,16.0,24.6,0
2017년09월_12일,13.0,27.9,0
2017년09월_13일,10.0,27.5,0
2017년09월_14일,12.0,29.5,0
2017년09월_15일,8.0,27.9,0
2017년09월_16일,5.0,27.6,0
2017년09월_17일,5.0,29.2,0
2017년09월_18일,10.0,27.6,0
2017년09월_19일,40.0,25.8,0
2017년09월_20일,10.0,24.9,0
2017년09월_21일,15.0,27.0,0
2017년09월_22일,19.0,26.8,0
2017년09월_23일,25.0,27.3,0
2017년09월_24일,37.0,27.9,0
2017년09월_25일,26.0,30.1,0
2017년09월_26일,26.0,31.4,0
2017년09월_27일,23.0,27.3,0
2017년09월_28일,8.0,25.3,0
2017년09월_29일,9.0,23.5,0
2017년09월_30일,18.0,25.9,0
