날짜,미세먼지PM2.5,최고기온(℃),comfortable
2023-09-01,14,29.6,0
2023-09-02,17,30.8,0
2023-09-03,11,28.8,0
2023-09-04,9,30.2,0
2023-09-05,8,32.8,0
2023-09-06,9,32.1,0
2023-09-07,10,31.6,0
2023-09-08,8,30.5,0
2023-09-09,16,31.2,0
2023-09-10,22,29.6,0
2023-09-11,19,29.8,0
2023-09-12,16,29.8,0
2023-09-13,14,24.6,0
2023-09-14,3,27.2,0
2023-09-15,4,24.3,0
2023-09-16,5,26.6,0
2023-09-17,10,28.0,0
2023-09-18,11,28.9,0
2023-09-19,16,27.2,0
2023-09-20,15,23.9,1
2023-09-21,4,23.6,1
2023-09-22,9,26.7,0
2023-09-23,10,27.6,0
2023-09-24,4,26.2,0
2023-09-25,4,26.0,0
2023-09-26,3,20.8,1
2023-09-27,4,23.7,1
2023-09-28,32,27.3,0
2023-09-29,19,26.9,0
2023-09-30,12,22.2,1
2023-10-01,9,23.7,1
2023-10-02,8,24.6,0
2023-10-03,11,22.5,1
2023-10-04,13,23.2,1
2023-10-05,6,19.2,1
2023-10-06,9,21.5,1
2023-10-07,11,21.2,1
2023-10-08,5,19.5,1
2023-10-09,5,22.4,1
2023-10-10,10,23.5,1
2023-10-11,14,24.0,1
2023-10-12,16,24.1,0
2023-10-13,21,21.5,1
2023-10-14,20,18.2,1
2023-10-15,16,21.2,1
2023-10-16,18,19.6,1
2023-10-17,13,20.9,1
2023-10-18,17,21.6,1
2023-10-19,18,18.9,1
2023-10-20,6,15.1,1
2023-10-21,7,16.6,1
2023-10-22,10,18.7,1
2023-10-23,16,21.4,1
2023-10-24,21,19.3,1
2023-10-25,23,21.9,1
2023-10-26,33,21.1,0
2023-10-27,16,20.2,1
2023-10-28,19,20.7,1
2023-10-29,17,21.8,1
2023-10-30,25,21.9,1
2023-10-31,30,20.8,0
2023-11-01,25,20.6,1
2023-11-02,19,25.9,0
2023-11-03,15,22.4,1
2023-11-04,18,20.9,1
2023-11-05,9,20.4,1
2023-11-06,7,19.3,1
2023-11-07,7,9.9,0
2023-11-08,12,16.1,1
2023-11-09,17,18.4,1
2023-11-10,9,9.1,0
2023-11-11,10,6.7,0
2023-11-12,11,5.7,0
2023-11-13,14,6.7,0
2023-11-14,15,10.8,0
2023-11-15,29,12.5,0
2023-11-16,34,7.4,0
2023-11-17,9,5.9,0
2023-11-18,14,5.7,0
2023-11-19,24,13.4,0
2023-11-20,18,12.8,0
2023-11-21,22,14.8,0
2023-11-22,27,15.1,0
2023-11-23,48,14.6,0
2023-11-24,8,2.2,0
2023-11-25,9,4.0,0
2023-11-26,15,7.2,0
2023-11-27,25,9.3,0
2023-11-28,18,5.2,0
2023-11-29,8,3.0,0
2023-11-30,7,-0.5,0
2024-09-01,20,31.6,0
2024-09-02,12,26.9,0
2024-09-03,5,32.0,0
2024-09-04,10,33.3,0
2024-09-05,13,28.8,0
2024-09-06,8,25.7,0
2024-09-07,14,31.3,0
2024-09-08,22,32.8,0
2024-09-09,20,34.1,0
2024-09-10,21,33.9,0
2024-09-11,22,34.6,0
2024-09-12,6,27.1,0
2024-09-13,7,28.0,0
2024-09-14,6,32.2,0
2024-09-15,6,32.4,0
2024-09-16,3,32.2,0
2024-09-17,6,33.2,0
2024-09-18,10,33.6,0
2024-09-19,13,32.6,0
2024-09-20,7,28.6,0
2024-09-21,1,21.9,1
2024-09-22,2,26.7,0
2024-09-23,3,26.1,0
2024-09-24,5,26.9,0
2024-09-25,8,27.3,0
2024-09-26,10,28.0,0
2024-09-27,9,28.0,0
2024-09-28,5,27.9,0
2024-09-29,4,29.0,0
2024-09-30,4,28.5,0
2024-10-01,7,21.7,1
2024-10-02,6,19.9,1
2024-10-03,7,22.5,1
2024-10-04,7,24.2,0
2024-10-05,12,24.4,0
2024-10-06,13,17.9,1
2024-10-07,23,20.7,1
2024-10-08,23,23.9,1
2024-10-09,6,24.4,0
2024-10-10,10,24.1,0
2024-10-11,22,24.4,0
2024-10-12,24,24.7,0
2024-10-13,17,22.6,1
2024-10-14,10,21.5,1
2024-10-15,13,21.9,1
2024-10-16,23,24.2,0
2024-10-17,22,25.7,0
2024-10-18,12,18.8,1
2024-10-19,3,21.1,1
2024-10-20,4,17.8,1
2024-10-21,5,19.3,1
2024-10-22,6,16.6,1
2024-10-23,7,15.5,1
2024-10-24,16,18.4,1
2024-10-25,15,21.5,1
2024-10-26,12,24.0,1
2024-10-27,16,18.8,1
2024-10-28,22,20.4,1
2024-10-29,7,18.3,1
2024-10-30,16,21.4,1
2024-10-31,20,22.6,1
2024-11-01,24,18.7,1
2024-11-02,20,25.1,0
2024-11-03,15,23.5,1
2024-11-04,13,18.3,1
2024-11-05,10,14.7,0
2024-11-06,12,12.5,0
2024-11-07,23,15.7,1
2024-11-08,22,18.1,1
2024-11-09,19,20.3,1
2024-11-10,15,21.0,1
2024-11-11,31,21.8,0
2024-11-12,24,19.2,1
2024-11-13,21,21.3,1
2024-11-14,17,16.8,1
2024-11-15,16,21.5,1
2024-11-16,13,22.6,1
2024-11-17,9,14.4,0
2024-11-18,7,7.9,0
2024-11-19,12,11.3,0
2024-11-20,24,9.6,0
2024-11-21,36,14.1,0
2024-11-22,19,10.6,0
2024-11-23,14,12.6,0
2024-11-24,11,14.2,0
2024-11-25,12,15.4,1
2024-11-26,5,12.7,0
2024-11-27,6,1.2,0
2024-11-28,12,3.4,0
2024-11-29,18,3.4,0
2024-11-30,16,5.6,0
2025-09-01,5,28.2,0
2025-09-02,9,30.6,0
2025-09-03,12,32.1,0
2025-09-04,5,29.8,0
2025-09-05,8,33.0,0
2025-09-06,10,30.4,0
2025-09-07,8,28.3,0
2025-09-08,13,29.5,0
2025-09-09,17,26.9,0
2025-09-10,13,31.5,0
2025-09-11,9,31.7,0
2025-09-12,8,26.3,0
2025-09-13,2,27.6,0
2025-09-14,6,29.3,0
2025-09-15,11,30.7,0
2025-09-16,12,27.1,0
2025-09-17,6,24.0,1
2025-09-18,4,26.0,0
2025-09-19,5,21.4,1
2025-09-20,3,23.6,1
2025-09-21,3,27.3,0
2025-09-22,5,25.1,0
2025-09-23,6,26.8,0
2025-09-24,6,23.7,1
2025-09-25,9,26.4,0
2025-09-26,18,27.1,0
2025-09-27,16,27.2,0
2025-09-28,10,21.9,1
2025-09-29,17,23.9,1
2025-09-30,21,24.0,1
2025-10-01,20,25.6,0
2025-10-02,17,25.8,0
2025-10-03,16,22.3,1
2025-10-04,5,25.0,0
2025-10-05,5,22.3,1
2025-10-06,2,20.7,1
2025-10-07,2,20.0,1
2025-10-08,4,28.0,0
2025-10-09,5,22.6,1
2025-10-10,3,17.7,1
2025-10-11,5,23.8,1
2025-10-12,2,21.4,1
2025-10-13,2,18.3,1
2025-10-14,2,20.9,1
2025-10-15,3,25.3,0
2025-10-16,3,24.8,0
2025-10-17,5,24.8,0
2025-10-18,8,18.6,1
2025-10-19,9,19.2,1
2025-10-20,11,16.5,1
2025-10-21,13,14.1,0
2025-10-22,9,18.6,1
2025-10-23,5,19.6,1
2025-10-24,4,21.5,1
2025-10-25,11,17.7,1
2025-10-26,24,13.9,0
2025-10-27,11,12.2,0
2025-10-28,9,14.4,0
2025-10-29,15,18.3,1
2025-10-30,22,18.2,1
2025-10-31,23,20.7,1
2025-11-01,14,17.7,1
2025-11-02,9,11.7,0
2025-11-03,12,14.7,0
2025-11-04,18,16.3,1
2025-11-05,22,19.0,1
2025-11-06,33,18.8,0
2025-11-07,33,19.9,0
2025-11-08,17,17.0,1
2025-11-09,20,17.6,1
2025-11-10,7,12.7,0
2025-11-11,10,15.1,1
2025-11-12,18,17.7,1
2025-11-13,26,17.6,0
2025-11-14,15,15.1,1
2025-11-15,20,17.5,1
2025-11-16,24,18.7,1
2025-11-17,11,9.7,0
2025-11-18,11,6.5,0
2025-11-19,15,8.6,0
2025-11-20,21,14.6,0
2025-11-21,10,12.5,0
2025-11-22,23,15.1,1
2025-11-23,30,14.4,0
2025-11-24,53,16.8,0
2025-11-25,62,9.6,0
2025-11-26,33,10.9,0
2025-11-27,21,8.7,0
2025-11-28,14,7.0,0
2025-11-29,16,9.3,0
2025-11-30,29,16.1,0
